city,pincode,delivery_status,district,division,slag_basicrate,transportation_by_truck,unloading_charges,km,forty_ton_hydraulic,thirty_ton_hydraulic,twenty_ton_hydraulic,final_price,is_active
Achalpur City,444808,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Achalpur City,444717,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Achalpur City,444806,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Akola,444107,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444004,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444111,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444102,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444101,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444002,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444126,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444402,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444405,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444109,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444407,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444506,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444501,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444003,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444311,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444108,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444106,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444005,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444117,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444006,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444502,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444001,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Akola,444104,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Amaravati,444701,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444601,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444606,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444605,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444901,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444604,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444603,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444602,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Amravati,444607,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Arjuni Morgaon,441702,Delivery,Gondia,Nagpur Moffusil,600,0,0,0,450,500,0,0,True
Arjuni Morgaon,441701,Delivery,Gondia,Nagpur Moffusil,600,0,0,0,450,500,0,0,True
Arni,445109,Delivery,Yavatmal,Yeotmal,600,0,0,0,350,400,450,0,True
Arni,445110,Delivery,Yavatmal,Yeotmal,600,0,0,0,350,400,450,0,True
Arni,445106,Delivery,Yavatmal,Yeotmal,600,0,0,0,350,400,450,0,True
Arni,445103,Delivery,Yavatmal,Yeotmal,600,0,0,0,350,400,450,0,True
Arni,445105,Delivery,Yavatmal,Yeotmal,600,0,0,0,350,400,450,0,True
Arvi,442302,Delivery,Wardha,Wardha,600,0,0,0,250,325,375,0,True
Arvi,442106,Delivery,Wardha,Wardha,600,0,0,0,250,325,375,0,True
Arvi,442201,Delivery,Wardha,Wardha,600,0,0,0,250,325,375,0,True
Ashti,442202,Delivery,Wardha,Wardha,600,0,0,0,250,325,375,0,True
Barshitakli,444401,Delivery,Akola,Akola,600,625,100,0,0,0,0,0,True
Bhadrawati,442404,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Bhadrawati,442503,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Bhadrawati,442902,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Bhadrawati,442906,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Bhandara,441906,Delivery,Bhandara,Nagpur Moffusil,600,200,0,0,200,250,0,0,True
Bhandara,441904,Delivery,Bhandara,Nagpur Moffusil,600,200,0,0,200,250,0,0,True
Bhandara,441905,Delivery,Bhandara,Nagpur Moffusil,600,200,0,0,200,250,0,0,True
Bhandara,441924,Delivery,Bhandara,Nagpur Moffusil,600,200,0,0,200,250,0,0,True
Bhatkuli,444802,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Bhatkuli,444801,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Bhatkuli,444706,Delivery,Amravati,Amaravati,600,450,100,0,500,550,0,0,True
Bhatkuli,444804,Delivery,Amravati,Amaravati,600,450,100,0,500,550,0,0,True
Bhiwapur,441203,Delivery,Nagpur,Nagpur Moffusil,600,0,0,0,400,450,500,0,True
Bhiwapur,441201,Delivery,Nagpur,Nagpur Moffusil,600,0,0,0,400,450,500,0,True
Chamorhsi,442707,Delivery,Gadchiroli,Chandrapur,600,0,0,0,450,500,0,0,True
Chamorshi,442604,Delivery,Gadchiroli,Chandrapur,600,0,0,0,450,500,0,0,True
Chamorshi,442603,Delivery,Gadchiroli,Chandrapur,600,0,0,0,450,500,0,0,True
Chandrapur,442402,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442502,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442403,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442406,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442401,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,441224,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442501,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442507,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandrapur,442505,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandur,442908,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chandur Bazar,444704,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Chandur Bazar,444810,Delivery,Amravati,Amaravati,600,450,100,0,500,550,0,0,True
Chandur Bazar,444720,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Chandur Bazar,444723,Delivery,Amravati,Amaravati,600,450,80,0,500,550,0,0,True
Chandur Railway,444904,Delivery,Amravati,Amaravati,600,450,100,0,500,550,0,0,True
Chimur,442904,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Chimur Bo,442903,Delivery,Chandrapur,Chandrapur,600,0,0,0,400,450,0,0,True
Darwha,445202,Delivery,Yavatmal,Yeotmal,600,0,0,0,350,400,450,0,True
